tweet_id,airline,name,text,tweet_lotion
1029,Mars Air,TenantsUpstairs, LAX to EWR - Middle seat on a red eye. Such a noob maneuver. sendambien andchexmix,Brooklyn
1030,Mars Air,jordanpichler," hi! I just bked a cool birthday trip with you, but i n't add my elevate no. use i entered my middle name during Flight Booking Problems 😢",Savannah
1031,Mars Air,JCervantezzz, Are the hours of operation for the Club at SFO that are posted online current?,San Francisco
1032,Mars Air,Cuschoolie1," help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",Washington DC
1033,Mars Air,amanduhmcrty," awaiting my return phone ll, just would prefer to use your online self-service option :(",Savannah
1034,Mars Air,NorthTxHomeTeam, this is great news!  Ameri could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via Pacificbiznews,Texas
1035,Mars Air,miaerolinea,Nice RT : Vibe with the moodlight from takeoff to touchdown. MoodlitMonday ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,Worldwide
1036,Mars Air,Nicsplace, Moodlighting is the only way to fly! Best experience EVER! Cool and lming. 💜✈ MoodlitMonday,Central Texas
1037,Mars Air,Nicsplace," freddieawards Done and done! Best airline around, hands down!",Central Texas
1038,Mars Air,elisha_malulani, when n I book my flight to Hawaii??,Portland
1039,Mars Air,DannyDouglass, Your chat support is not working on your site: http://t.co/vhp2GtDWPk,San Francisco
1040,Mars Air,jamesferrandini," View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",Savannah
1041,Mars Air,will_lenzenjr," Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Iowa City
1042,Mars Air,GottAmanda, plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,Los Angeles
1043,Mars Air,KGervaise, I have an unused ticket but moved to a new city where you don't fly. How n I fly with you before it expires? travelhelp,Georgia
1044,Mars Air,papamurat, are flights leaving Dallas for Seattle on time Feb 24?,Savannah
1045,Mars Air,arieldaie, I'm elevategold for a good reason: you rock!!,Los Angeles
1046,Mars Air,vations7,  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,Turks and icos
1047,Mars Air,ChelseaPoe666, wow this just blew my mind,Oakland via Midwest 
1048,Mars Air,BobGlavinVO, ladygaga rrieunderwood After last night tribute SoundOfMusic Osrs2015 ladygaga! I think rrieunderwood agree,New York
1049,Mars Air,lisaaiko, ladygaga rrieunderwood All were entertaining,Savannah
1050,Mars Air,grantbrowne," Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Worldwide
1051,Mars Air,joyabsalon, ladygaga rrieunderwood Julie Andrews all the way though ladygaga was very impressive! NO to rrieunderwood,Northern Virginia
1052,Mars Air,2v, wish you flew out of Atlanta... Soon?,Los Angeles / Atlanta
1053,Mars Air,KSmithFoundHere, ladygaga rrieunderwood Julie Andrews. Hands down.,Savannah
1054,Mars Air,papamurat, Will flights be leaving Dallas for LA on February 24th?,Savannah
1055,Mars Air,murphicus, hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,New York
1056,Mars Air,VinnieFerra, you know it. Need it on my spotify stat guiltypleasures,New York
1057,Mars Air,KevinDemsi, ladygaga rrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,Bali
1058,Mars Air,giffgaffman, ladygaga rrieunderwood - rrie!,UK
1059,Mars Air,HanlonBrothers, New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,Gold Coast
1060,Mars Air,emilybg78, ladygaga rrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. rrie? Meh.,Stockton
1061,Mars Air,rachie1126, I lled a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,New York
1062,Mars Air,adawson66," ladygaga rrieunderwood all are great , but I have to go with rrieUnderwood 😍👌",Savannah
1063,Mars Air,SocialPLC," LadyGaga rrieUnderwood Sorry, Mary Martin had it first!",Philadelphia
1064,Mars Air,jeffreymace01, ladygaga rrieunderwood  love all three but you really n't beat the classics!,Savannah
1065,Mars Air,1stcrown, Flight 0736 DAL to D 2/24 2:10pm. Tried to check in could not. Status please.,USA
1066,Mars Air,onerockgypsy, heyyyy guyyyys.. been trying to get through for an hour. n someone ll me please? :/,next city
1067,Mars Air,noelduan," Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",Memphis
1068,Mars Air,Travelzoo, Congrats on winning the Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,New York
1069,Mars Air,gianagon, everything was fine until you lost my bag,New York
1070,Mars Air,bxchen, Need to change reservation. Have Virgin credit rd. Do I need to modify on phone to waive change fee? Or n I do online?,Philadelphia
1071,Mars Air,seimatrun, I emailed your customer service team. Let me know if you need the tracking number.,Los Angeles
1072,Mars Air,jamied7," hi I just booked a flight but need to add baggage, how n I do this?",Philadelphia
1073,Mars Air,seimatrun, your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,Los Angeles
1074,Mars Air,mrmichaellay," not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",Floridian from Cincinnati 
1075,Mars Air,TaylorLumsden, awesome. I flew yall Sat morning. Any way we n correct my bill ?,Philadelphia
1076,Mars Air,mpusmoviefest," Or watch some of the best student films in the country at 35,000 feet! CMFat35000feet http://t.co/KEK5pDMGiF",USA
1077,Mars Air,TaylorLumsden, first time flying you all. do you have a different rate/policy for media Bags? Thanks,Philadelphia
1078,Mars Air,meme_meng, what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Savannah
1079,Mars Air,kyle_romanoff, what happened to Doom?!,Savannah
1080,Mars Air,GunsNDip, why n't you supp the biz traveler like SouthwestAir  and have customer service like JetBlue neverflyvirginforbusiness,Savannah
1081,Mars Air,artisticwritr87, I've applied more then once to be a member of the inflight crew team...Im 100% interested. flightattendant dreampath -G,Philadelphia
1082,Mars Air,arieldaie, you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Los Angeles
1083,Mars Air,GunsNDip, I have no interesting flying with you after this. I will ncelled Flight my next four flights I planned.neverflyvirginforbusiness,Savannah
1084,Mars Air,GunsNDip, it was a disappointing experience which will be shared with every business traveler I meet. neverflyvirgin,Savannah
1085,Mars Air,jsatk, I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,Philadelphia
1086,Mars Air,serenaklal, n't bring up my reservation online using Flight Booking Problems code,Chigo
1087,Mars Air,openambit1, Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,Savannah
1088,Mars Air,bowine, I &lt;3 Flying VA But Life happens and I am trying to change my trip JPERHI  n you help.VA home page will not let me ?,Philadelphia
1089,Mars Air,MaryAnnTaylorT, Why is the site down?  When will it be back up?,New York
1090,Mars Air,RamotControl," ""You down with RNP?"" ""Yeah you know me!""",Savannah
1091,Mars Air,losermelon," hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",Savannah
1092,Mars Air,AlisonK33774854, I like the TV and interesting video . Just disappointed in ncelled Flightled flight when other flights went out to jfk on Saturday .,Savannah
1093,Mars Air,GunsNDip," just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly nomorevirgin",Savannah
1094,Mars Air,yazdanagh, why is flight 345 redirected?,Savannah
1095,Mars Air,MerchEngines," Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Philadelphia
1096,Mars Air,Colorrtel, I n't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,Philadelphia
1097,Mars Air,MustBeSpoken, - Let 2 snned in passengers leave the plane than told someone to remove their bag from 1st class bin? uncomfortable,Savannah
1098,Mars Air,mattbunk, What is your phone number. I n't find who to ll about a flight reservation.,Philadelphia
1099,Mars Air,louisjenny, is anyone doing anything there today?  Website is useless and no one is answering the phone.,Washington DC
1100,Mars Air,STravelsW, trying to add my boy Prince to my ressie. SF this Thursday  from LAX http://t.co/GsB2J3c4gM,Philadelphia
1101,Mars Air,GunsNDip, why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. sfo2lax,Savannah
1102,Mars Air,joeyrenagade, check out new music http://t.co/maRcnOCWzn,Greater Los Angeles
1103,Mars Air,mrmichaellay, how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. sneaky,Floridian from Cincinnati 
1104,Mars Air,GunsNDip, your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Savannah
1105,Mars Air,TheDuchessSF," - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! customerservice virginameri flying",Online
1106,Mars Air,BeLeather, lled your service line and was hung up on. This is awesome. sarsm,Savannah
1107,Mars Air,BeLeather, your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any rd info.,Savannah
1108,Mars Air,drseydrake, I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,Philadelphia
1109,Mars Air,flyfromWAS," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH CheapFlights FareCompare",Philadelphia
1110,Mars Air,flyfromSEA," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd CheapFlights FareCompare",Seattle
1111,Mars Air,flyfromNYC," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 CheapFlights FareCompare",New York
1112,Mars Air,flyfromLAX," has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 CheapFlights FareCompare",Philadelphia
1113,Mars Air,Silvanabfer, Have a great week 🌞✈,Savannah
1114,Mars Air,AdamJdubs, come back to PHL already. We need you to take us out of this horrible cold. pleasecomeback http://t.co/gLXFwP6nQH,Earth
1115,Mars Air,nicholas_v," should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Savannah
1116,Mars Air,tstashajones," is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",Philadelphia
1117,Mars Air,SkateMamas, and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,Philadelphia
1118,Mars Air,dngoo, your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,Philadelphia
1119,Mars Air,SamBrittenham," Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",USA
1120,Mars Air,usagibrian, Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,San Francisco 
1121,Mars Air,usagibrian," And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",San Francisco 
1122,Mars Air,KindofLuke, I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,Savannah
1123,Mars Air,ptbrodie, thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,San Francisco
1124,Mars Air,cheryleng, you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,Savannah
1125,Mars Air,HishamSharaby," Do you provide complimentary upgrades to first class, if there are available seats?",New York
1126,Mars Air,ChrisFordisHere, i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im lling intern. Help!!,NYC
1127,Mars Air,JKF1897, completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. VAbeatsJblue,Savannah
1128,Mars Air,F6x, How n I watch the Osrs2015 on my JFK-&gt;SFO flight?,Philadelphia
1129,Mars Air,lawyang588, is flight 882 ncelled Flightled and what do I do if it is?,Savannah
1130,Mars Air,melokudo, you are failing your customers beuse your check in process does not link to TSA pre-check.,Savannah
1131,Mars Air,ChrysiChrysic, FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,Savannah
1132,Mars Air,nikkisixxfan93, has flight number 276 from SFO to bo San Lus arrived yet?,Philadelphia
1133,Mars Air,ChrysiChrysic, ChrysiChrysic your assistance yesterday when u ncelled Flightled our flight was to give us a hotel hotline  Shame on you!,Savannah
1134,Mars Air,MOCBlogger, Another delayed flight? likingyoulessandless,San Diego
1135,Mars Air,tfaz, I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,Philadelphia
1136,Mars Air,lisaptv, you ROCK for making it so I n watch Osrs on my flight!! redrpet osrs osrs2015,Savannah
1137,Mars Air,dropapp,", reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",Savannah
1138,Mars Air,Hollywood, always!!! Xoxo,All Over!
1139,Mars Air,GoShar2012, why n't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! frustrated,Philadelphia
1140,Mars Air,MOCBlogger, You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at sfo lame,San Diego
1141,Mars Air,SkateMamas, best customer service rep in the world! irmafromDallas takes the ke!!!,Philadelphia
1142,Mars Air,FiDiFamilies, n you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃,New York
1143,Mars Air,jarrydosborne, please provide status for flight 769.  I nt imagine it's on time as the Web indites  dude to weather here and/or Dallas,New York
1144,Mars Air,Hollywood, you have amazing staff &amp; super helpful as I just ran the WaltDisneyWorld PrincessHalf they have spoiled me with comfort!!!,All Over!
1145,Mars Air,mlorenzen," I paid the premium to fly you across the country, you ncelled Flight my flight and offer no check fee or upgrade love? Sad face :(",Philadelphia
1146,Mars Air,Tyler_Starrine, question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,Los Angeles
1147,Mars Air,jessijaymes,Always have it together!!! You're welcome! RT : jessijaymes You're so welcome.,Philadelphia
1148,Mars Air,livingfitly, flight home to dc sunset globe in' backtowinter back to work! refreshed http://t.co/VX9vBCTdLf,Philadelphia
1149,Mars Air,khartline,. I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,Las Vegas
1150,Mars Air,khartline,. does that mean you don't have a policy for destroyed luggage?,Las Vegas
1151,Mars Air,MACRoxburgh, is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,Savannah
1152,Mars Air,paulnakada, thank you for checking in. tickets are purchased and customer is happy ;-),San Francisco
1153,Mars Air,wildtdad, is your website ever coming back online?,Savannah
1154,Mars Air,RheaThurman1,"  - Is Flight 713 from Love Field to SFO definitely ncelled Flightled for Monday, February 23?",Savannah
1155,Mars Air,Osiris91780, Is flight 0769 out of LGA to DFW on time?,Savannah
1156,Mars Air,HeatherWhoo, my drivers license is expired by a little over a month. n I fly Friday morning using my expired license?,Savannah
1157,Mars Air,paulnakada, having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,San Francisco
1158,Mars Air,RampantSmashing, How do I reschedule my ncelled Flightled flights online? The change button is greyed out!,Savannah
1159,Mars Air,intlwriter," I rang, but there is a wait for 35 minutes!! I n book the same ticket through a vendor, fix your site", the moment in New Delhi
1160,Mars Air,finslippy," got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Brooklyn
1161,Mars Air,finslippy," our flight into lga was ncelled Flighted. We're stuck in Dallas. I lled to reschedule, told I could get a flight for today...(1/2)",Brooklyn
1162,Mars Air,Gr8Fratsby, why don't any of the pairings include red wine?! Only white is offered :( redwineisbetter,Philadelphia
1163,Mars Air,sbaaronson, is the website down?,Los Angeles
1164,Mars Air,jonesbasf, - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,Savannah
1165,Mars Air,Gr8Fratsby, I'm disappointed that the agent at the designated silver status check in line Dulles_Airport closed to assist all pasengers,Philadelphia
1166,Mars Air,NewsSWA, Plans to Include Austin to its Dallas Route - TopNews Arab Emirates http://t.co/aqZWecOkk2,FL410
1167,Mars Air,CSHangover, Is it normal to receive no reply from Central Baggage baggageissues smh,Tokyo
1168,Mars Air,girlphotophilly, at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,Philadelphia
1169,Mars Air,NewsSWA, to jump into the Dallas-Austin market - Dallas_News http://t.co/EwwGi97gdx,FL410
1170,Mars Air,NewsSWA," Beats EPS Views, Takes On SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",FL410
1171,Mars Air,Graemelodge5545, Lister to my show my on Monday 1230 130,Savannah
1172,Mars Air,NewsSWA, to begin Dallas-Austin flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,FL410
1173,Mars Air,Boards707," congrats, you just got all my business from EWR to SFO/LAX.  you united fl1289 SFO/EWR was the clincher...",Philadelphia
1174,Mars Air,MikeWiener,  I applied over 2 weeks ago. Haven't heard back and I'm flying this week disappointed,Savannah
1175,Mars Air,khartline, I'd love to know what your policy is for damaged luggage.,Las Vegas
1176,Mars Air,simpasmore, Thank you for the follow,Barbados 
1177,Mars Air,ChrysiChrysic, - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,Savannah
1178,Mars Air,ChrysiChrysic, shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,Savannah
1179,Mars Air,TTINAC11, TTINAC11 I DM you,Philadelphia
1180,Mars Air,elaurawrr, n you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭,Savannah
1181,Mars Air,joyabsalon, too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,Northern Virginia
1182,Mars Air,meladorri, Flight from BOS &gt; LAS tomorrow was ncelled Flightled. No notifition; wait times are 1+ hour. Will you rebook on another airline?,Philadelphia
1183,Mars Air,miaerolinea,😎 RT : You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,Worldwide
1184,Mars Air,archiegips, Only way to fly! Elevate Gold,LaLa Land
1185,Mars Air,obiwantoby, If only you guys had flights from CMH.,Savannah
1186,Mars Air,MarwaYousofzoy," a lot of ""apologies"" being thrown out to customers from what I n see.Very sad. Thanks for nothing. Worst airline ever.",Savannah
1187,Mars Air,TTINAC11,  for all my flight stuff wrong and did nothing about it. Had worst flight ever,Philadelphia
1188,Mars Air,TheNotoriousLEX, Having an issue finding a missing item on a plane. n you help me find which airport my plane headed to next?,Chigo 
1189,Mars Air,advertisingdiva, you will match my AmerinAirlines status? Cool!,Portland
1190,Mars Air,Floxie10,“:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” asarco_ES_ar ? 🙉,Argentina
1191,Mars Air,alexrkonrad, trying to book a flight with you guys and your website won't let me... about to lose my business,New York
1192,Mars Air,MarwaYousofzoy, you suck!,Savannah
1193,Mars Air,lexiesalas, thanks!,BAYAREA✈️NYC
1194,Mars Air,MaximWheatley, Just DM'd. Same issue persisting.,Philadelphia
1195,Mars Air,FiDiFamilies, Beuse we never rec'd ncelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,New York
1196,Mars Air,lexiesalas, trying to book a flight &amp; your site is down 😁,BAYAREA✈️NYC
1197,Mars Air,Artenis15, You have any flights flying into Boston tomorrow? I need to be home and you ncelled Flightled my flight and didn't do anything,Memphis
1198,Mars Air,NancyJFriedman, you stink. Flight ncelled Flighted from PSP to JFK and no notifition or ability to rebook disappointed.  expected better,New York
1199,Mars Air,JT_Magana, I love your guy's song! We're dancing to it for our high school dance revue,Savannah
1200,Mars Air,MaximWheatley, Your website is down and I'm trying to check in!,Philadelphia
1201,Mars Air,rabubes," done! Thank you for the quick response, apparently faster than sitting on hold ;)",Philadelphia
1202,Mars Air,rabubes, nervous about my flight from DC to LAX getting ncelled Flightled tomorrow! Just sent you a DM to help me!,Philadelphia
1203,Mars Air,wmrrock, cool picture of another VirginAmeri plane off our wing. What a site! http://t.co/5B2agFd8c4,CT
1204,Mars Air,DailyBillboard, Keep up the great work :),Philadelphia
1205,Mars Air,BigRichTexasPam, my goodness your people love field are amazing under pressure ❤️from Texas beatstheothers in crisis Please fly me to NY,Portland
1206,Mars Air,rtw4, Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. n we go back to LA now? seriously,Philadelphia
1207,Mars Air,sualdiego, n you please get me to the new york area before monday afternoon,Philadelphia
1208,Mars Air,kyle_romanoff," Thanks so much for the awesome support, you guys rock!",Savannah
1209,Mars Air,wmrrock, seats in Row 8 don't recline should mention that on your website soreback,CT
1210,Mars Air,wmrrock, flight 404 delayed 2 hours in LA due to mechanil problems. Handle like pros but you could have tossed us a free drink.,CT
1211,Mars Air,BigRichTexasPam, why ncelled Flight flights today? No precipitation to be sred of!  ❄️❄️❄️,Portland
1212,Mars Air,aaronkurlander, twitter team. you guys killed it for rescheduling me asap. thank you!,New York
1213,Mars Air,MistakekeJake, You guys charged me $100 to reschedule a flight that was then ncelled Flighted and are now refusing to refund it. What's the deal?,Savannah
1214,Mars Air,NoelArtiles, n’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.,Philadelphia
1215,Mars Air,floatingatoll," on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight",Philadelphia
1216,Mars Air,floatingatoll," your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin",Philadelphia
1217,Mars Air,aaronkurlander, I was really looking forward to my flight. n you let me know when it will be rescheduled? diehardvirgin,New York
1218,Mars Air,aaronkurlander," why ncelled Flight flight VX413? One sec its delayed, on my to airport, the next its ncelled Flightled?Gonna email or ll me to reschedule?",New York
1219,Mars Air,borknagar, I did it but there was a problem in the link from the email for check-in. thanks,chile
1220,Mars Air,propsonline, had to change to another airline to get to DC today ... Why is united able to land in DC but not you? Cost me $800 ...ugh,Philadelphia
1221,Mars Air,propsonline, I was so looking forward to my first flight with you today but it was ncelled Flightled along with the subsequent one ...,Philadelphia
1222,Mars Air,rlos89178, when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj,Savannah
1223,Mars Air,rlos89178, wish I n afford to fly with you next Friday  going back home.. love everything  about your airline,Savannah
1224,Mars Air,shounshounette,  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? sad,Savannah
1225,Mars Air,alanzeino," it’s just a bug report, guys",San Francisco
1226,Mars Air,DonnellyPatrick, hold times at ll center are a bit much,Memphis
1227,Mars Air,stefanpinto, Like http://t.co/VPqEm31XUQ,Philadelphia
1228,Mars Air,josephschwegler, Site down? help,Savannah
1229,Mars Air,jennifer_ron, You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,Philadelphia
1230,Mars Air,miaerolinea,"Awesome! RT : Watch nominated films at 35,000 feet. MeetTheFleet Osrs http://t.co/DnStITRzWy",Worldwide
1231,Mars Air,ninjasistah, thanks so much!,Massachusetts
1232,Mars Air,daniellewolff," Trying to reset my password, email never arrives. Help?",Philadelphia
1233,Mars Air,EleonoraKaras,", the only airline based in Silicon Valley! disruption FCmostinnovative incubator  FastCompany's http://t.co/wU3LbCNcr9",New York
1234,Mars Air,rlosondrums, Very nicely done. 👏,Las Vegas
1235,Mars Air,ninjasistah, I’m looking forward to watching the Osrs on my flight home tomorrow. I might even get something bubbly to drink! ;),Massachusetts
1236,Mars Air,stephenasilverm, What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?,Savannah
1237,Mars Air,mrl6626," is todays flight from Palm Springs,  to JFK in NY ncelled Flightled?",Savannah
1238,Mars Air,SunRighteous, hahaha 😂 YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗,Savannah
1239,Mars Air,readerriter, sounds like fun !,Philadelphia
1240,Mars Air,jeredscott, any updates on flight 413 from Jfk &gt; Lax,Philadelphia
1241,Mars Air,eric_t_lee, spruce moose!,Brooklyn
1242,Mars Air,bluesmoon," the CSS on your site is a 404 right now, please fix. Site unusable.",Philadelphia
1243,Mars Air,RedSoxGirl1976," We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. n I fix that somehow?",Somewhere outside of Fenway
1244,Mars Air,InuAtah," classiq, luv Virgin Ameri. Greetingz",Abuja
1245,Mars Air,borknagar," Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues",chile
1246,Mars Air,Recessionista, Thanks for your great customer service today &amp; for helping me get all my travel sorted out!,Philadelphia
1247,Mars Air,moosekazmi, thanks guys! Sweet route over the Rockies airplanemodewason,Philadelphia
1248,Mars Air,_Lisap, love the 90s music blasting at gate in Boston while waiting for flight to SanFrancisco. Only if I could get an iced coffee!,Philadelphia
1249,Mars Air,eatgregeat," - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to FAANews",Savannah
